text,category,stance,"('text', 'dialect')"
بيل غيتس يتلقي لقاح  كوفيد19 من غير تصوير الابره و لا السيرنجه و لا الدواء و لابس بولو صيفي في عز الشتاء و يقول ان احدي مزايا عمر ال 65 عاما هي انه مؤهل للحصول علي اللقاح . يعني ما كان يحتاج اللقاح لو كان عمره اصغر من 65   ,celebrity,1,"('بيل غيتس تلقى لقاح كوفيد19 من غير تصوير إبر و لا السيرنجه و لا دواء و لابس بولو صيفي في عز شتاء و قول أن إحدى مزايا عمر ال 65 عام هي أن مؤهل حصول على لقاح . عنى ما كان حتاج لقاح لو كان عمر أصغر من 65', 'Gulf')"
وزير الصحه لحد اليوم وتحديدا هلا بمؤتمروا الصحفي كان ما عندي مشكله معوا. بس انوا بفايزر هو اللقاح الوحيد الامن بالعالم لا حبيبي هاي فيها نفاق واضح. عفوا يعني. مش انوا مجبورين فيه وما قادر تجبر الدوله المارقه تدفع مصاري تجيب لقاح تاني. يلا باي,info_news,1,"('وزير صح حد يوم تحديد هل بمؤتمروا صحفي كان ما عند مشكل عوا . بس أن بفايزر هو لقاح وحيد آمن عالم لا حبيب هاي في نفاق واضح . عفو عني . مش أن مجبور فيه ما قادر جبر دول مارق دفع مصاري جيب لقاح تاني . يلا أي', 'Levant')"
قولكن  رح يكونو اد المسؤوليه ب لبنان لما يوصل اللقاح؟ الفي جرعه من لقاح  كورونا للتلف في مستشفي بوسطن،لان عامل النظافه وقف عن طريق الخطا عمل الثلاجه التي حفظت بها.  لقاح كورونا,info_news,1,"('قول رح يكونو أد مسؤولي ب لبنان ما وصل لقاح ؟ ألف جرع من لقاح كور تلف في مستشفى بوسطن ، أن عامل نظاف وقف عن طريق خطأ عمل ثلاج التي حفظ ب . لقاح كور', 'Modern Standard Arabic')"
 تركيا.. وزير الصحه فخر الدين قوجه يتلقي اول جرعه من لقاح كورونافاك الصيني في مستشفي بالعاصمه  انقره.  ,celebrity,1,"('تركيا . . وزير صح فخر دين قوجه تلقى أول جرع من لقاح كورونافاك صيني في مستشفى عاصم أنقره .', 'Nile Basin')"
وئام وهاب يشتم الدول الخليجيه في كل طله اعلاميه ويتسافه عليهم واليوم جاء الي دبي واخذ لقاح كورونا. الاجدر توقيفه وطرده. اذا لم تستحي فافعل ما شئت  ,personal,0,"('وئام وهاب شتم دول خليجي في كل طل إعلامي تسافه علي يوم جاء إلى دبي أخذ لقاح كور . أجدر توقيف طرد . إذا لم ستحي فعل ما شئ', 'Gulf')"
لقاح  كورونا في اميركا.. قلق متزايد من التوزيع العادل  ,info_news,0,"('لقاح كور في أميركا . . قلق زايد من توزيع عادل', 'Maghreb')"
لبنان اشتري مليونان لقاح امريكي اذا شلنا يلي عمرهم تحت ١٦ سنه ويلي مابدهم ياخذوا لقاح امريكي ويلي ما بدهم ياخذوا لقاح لانه مفكرينها مؤامره ف بعتقد بفضل من اللقاح ، عشوا عاملين قصه مين رح ياخذ اول شي !! بكرا بنذكر بعض الدوله رح تصير تدعي لاخذ اللقاح والناس ما بدها,info_news,1,"('لبنان اشترى مليون لقاح أمر إذا شل لي عمر تحت ١٦ سن لي مابدهم أخذ لقاح أمر لي ما بد أخذ لقاح لإنه مفكر مؤامر ف عتقد فضل من لقاح ، شوا عامل قص مين رح أخذ أول شي ! ! بكر ذكر بعض دول رح صير دعي خذ لقاح ناس ما بد', 'Levant')"
من عوارض لقاح كورونا هو تهكير حسابك عتويتر  عاصي الحلاني,personal,0,"('من عوارض لقاح كور هو تهكير حساب عتويتر عاصي الحلاني', 'Maghreb')"
هناك 1780 مليونيرا في لبنان. ماذا لو فرضت الضريبه علي ثرواتهم؟ انجز هذا الانفوغراف بدعم من مؤسسه اوكسفام.  محاربه الفقر   محاربه اللامساواه   فيروس اللامساواه   لقاح الناس  لبنان ينتفض  1/3    ,unrelated,0,"('هناك 1780 مليونير في لبنان . ماذا لو فرض ضريب على ثرو ؟ أنجز هذا الإنفوغراف دعم من مؤسس أوكسفام . محارب فقر محارب اللامساواه فيروس اللامساواه لقاح ناس لبنان نتفض 1 / 3', 'Modern Standard Arabic')"
دعبول حضرتك منو انت وتطلب من قائد دوله اسلاميه لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريبا؟  دعبول دومه مسحول,info_news,1,"('دعبول حضر من انت طلب من قائد دول إسلامي لقاح عد ما تابع اخبار هم كل مجال متفوق راح طلع لقاح قريب ؟ دعبول دوم مسحول', 'Nile Basin')"
