text,category,stance
بيل غيتس تلقى لقاح كوفيد19 من غير تصوير إبر و لا السيرنجة و لا دواء و لابس بولو صيفي في عز شتاء و قول أن إحدى مزايا عمر ال 65 عام هي أن مؤهل حصول على لقاح . . . عنى ما كان حتاج لقاح لو كان عمر أصغر من 65,celebrity,1
وزير صح حد يوم تحديد هل بمؤتمروا صحفي كان ما عند مشكل عوا . بس أن بفايزر هو لقاح وحيد آمن عالم لا حبيب هاي في نفاق واضح . عفو عني . مش أن مجبور فيه ما قادر جبر دول مارق دفع مصاري جيب لقاح تاني . يلا أي,info_news,1
قول رح يكونو أد مسؤولي ب لبنان ما وصل لقاح ؟ ألف جرع من لقاح كور تلف في مستشفى بوسطن ، أن عامل نظاف وقف عن طريق خطأ عمل ثلاج التي حفظ ب . لقاح كور,info_news,1
تركيا . . وزير صح فخر دين قوجة تلقى أول جرع من لقاح كورونافاك صيني في مستشفى عاصم أنقره .,celebrity,1
وئام وهاب شتم دول خليجي في كل طل إعلامي تسافه علي يوم جاء إلى دبي أخذ لقاح كور . أجدر توقيف طرد . إذا لم ستحي فعل ما شئ,personal,0
لقاح كور في أميركا . . قلق زايد من توزيع عادل,info_news,0
لبنان اشترى مليون لقاح أمر إذا شل لي عمر تحت ١٦ سن لي مابدهم أخذ لقاح أمر لي ما بد أخذ لقاح لإنه مفكر مؤامر ف عتقد فضل من لقاح ، شوا عامل قص مين رح أخذ أول شي ! ! بكر ذكر بعض دول رح صير دعي خذ لقاح ناس ما بد,info_news,1
من عوارض لقاح كوروناهو تهكير حساب عتويترعاصي الحلاني,personal,0
هناك 1780 مليونير في لبنان . ماذا لو فرض ضريب على ثرو ؟ أنجز هذا الإنفوغراف دعم من مؤسس أوكسفام . محارب فقر محارب اللامساواة فيروس اللامساواة لقاح ناس لبنان نتفض 1 / 3,unrelated,0
دعبول حضر منو أنت طلب من قائد دول إسلامي لقاح عد ما تابع أخبار هم كل مجال متفوق راح طلع لقاح قريب ؟ دعبول دوم مسحول,info_news,1
مات 23 شخص في نرويج بعد لقى لقاح 19 . . نيويورك بوس,info_news,-1
بناء على تحليل هذه بيان قرر مملك متحد تأجيل جرع ثاني ٱستخدام جرع متاح في تطعيم أكبر عدد ممكن من ناس حين تصنيع ما كفي من اللقاحات توفير جرع ثاني خلال مد صل إلى 12 أسبوع من تلقى جرع أولى حذ عض دول حذو في ذلك 16,info_news,1
حراموس الولائيون لاينفعهم لقاح شي الأكببببر . مستعد موت بالفايروس لا أخذ طعوم لقاح أميركي,info_news,-1
| إعلان هام مواطن مقيم في دول قطر وزار صح عام فتح باب تسجيل حصول على لقاح كوڤيد ١٩ عبر NOAN تالي نديب قطر,info_news,1
صين أثناء ظهور سلال جديد من كور أم أسنان . . مر ٱستطاع إنتاج لقاح هذه سلال هذه سرع . . ٱشتر يا دول إلا سلال جديد أتي عض,info_news,1
بنك دولي : ؤمن لقاح فايزر ل750 ألف شخص في لبنان,info_news,1
مصر . . صح طلق موقع طلب حصول على لقاح كور تجريبي,info_news,1
كما حذر رئيس من مخاطر تطعيم . تطعيم خطير . أضاف ماجوفولي لو ٱستطاع علماء ٱختراع ، كان قد توصل إلى لقاح ضد أيدز سرطان سل منذ فتر طويل . حث رئيس ماجوفولي تنزاني على مواصل ٱتخاذ ٱحتياط . في وقت نفس ، أعلن أن لن كون هناك حجر صحي في بلاد,info_news,-1
معالي دكتور وزير صح بين أن لا مكن من تلقى جرع أولى من لقاح فايزر بيونيتك أن تلقى جرع ثاني من لقاح أسترازينيكا قول إن دلائل أولي فيد أن سلال جديد من فيروس كور ستجيب علاج باللقاحات مختلف مصنع لكوفيد 19 .,plan,1
لقاح حصب منع من إصاب بالحصبةلقاح جدري منع من إصاب بالجدريلقاح كوذيب 19 لا منع من إصاب مرض ، لا منع من نقل عدوى جب علي ٱستمرار كتم أنفاس أن بتعد عن ناس كما فعل الأجربلماذا تم تسمي لقاح هو ليس ذلك ؟ تضليل ناس بعد أن عمي بصائر,unrelated,0
خادم حرم شريف حفظ الله تلقى جرع أولى من لقاح كور كوفيد 19 .,celebrity,1
نتنياهو تلقى جرع ثاني من لقاح كور,info_news,1
جب أن كون لقاح كوفيد 19 شامل جميع . كن واضح : إن حماي بلدان ثري وحد لن تيح عود حيا إلى طبيع . طالما ظل فيروس الكورونا نتشر في أي مكان في عالم ، ظل شكل تهديد ل جميع . جب أن عمل معا ، أمم متحد . اللقاحات فعال,info_news,1
مطار قاهر ستقبل شحن بلغ 50 ألف جرع من لقاح استرازينيكا مصنع في هند .,info_news,1
إذا بد ما لازم ولا مسؤول رسمي دول لبناني خاص الرؤسا وزرا حصل على لقاح كور قبل شعب مش ني في خدم شعب أو انا غلطان ؟ إذا صح معلوم حول حصول هالفئة لقاح قبل غير عني فعل وقاح كون تخط كل حدود . كيف ل عين عمل نظر ناس تجاه نظر احتقار,personal,1
عاجلفيديوالملك سلمان تلقى جرع اولى من لقاح فيروس كور,celebrity,1
أن علم أن لقاح آمن وضع عقوب على شرك التي قوم تركيب أن علم أن إيران من في أمان أنيس نفوس وضع عقوب على عتب الرضوية مقدس أمريكا شيطان أكبر,info_news,1
الحمدلله أخذ جرع ثاني من تطعيم كوفيد19 جعل الله في عافي سلام من هذا وباء .,personal,1
تمخض وزار صح أنجب لقاح انت حظ يابتقول رب يابتروح عند احنا مال دخل بد واسط,personal,0
حسب الله نعم وكيل . شكل حيعطوهم لقاح جماع ولي عز علي عند غادر مملك زي أدوي إلى تهرب . أثر ميزاني حق صح ماتنصرف على مواطن مستشفي بلد عش كذا ميزاني ماتكفي .,requests,0
